"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G31-95","group3.1","Star","Shopping Cart - > поле ""checkbox - I agree with the terms of service and I adhere to them unconditionally (read)""  - > нажать на (read) - > Пользовательское соглашение отсутствует..","Anastasiya Pasrednikava","21 Dec 2022","21 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","**STR:**

1. Открыть страницу <https://demowebshop.tricentis.com/cart>
2. Нажать на (read) в поле ""checkbox - I agree with the terms of service and I adhere to them unconditionally (read)""

**Result:** Открывается окно ""Conditions of use"". Текст пользовательское соглашение отсутствует.

**Expected result:** Открывается окно ""Conditions of use"". Текст пользовательское соглашение присутствуют.

![](1б.jpg){width=70%}","0"
"G31-49","group3.1","Star","Billing Address (module Add Customer): в поле Address введены латинские буквы и спецсимвол (.). сообщение об ошибке ""Special characters are not allowed""","Anastasiya Pasrednikava","8 Dec 2022","8 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)","STR:

1. Открыть сайт

   <https://demo.guru99.com/telecom/addcustomer.php>
2. Выберете поле Address
3. Введите латинские буквы и спецсимвол (.)

Result: в поле Address сообщение об ошибке ""Special characters are not allowed""

Expected result: в поле Address нет сообщения об ошибке. Спецсимвол (.) разрешен

![](10.png){width=70%}","0"
"G31-48","group3.1","Star","Billing Address (module Add Customer):  сообщение об ошибке ""Special characters are not allowed"" в поле  First Name после ввода цифр, латиницы и спецсимволов","Anastasiya Pasrednikava","8 Dec 2022","8 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)","**STR:**

1. Открыть сайт <https://demo.guru99.com/telecom/addcustomer.php>
2. Выберете поле First Name
3. Введите цифры, латиницу и спецсимволы

**Result:** отображается сообщение об ошибке **""Special characters are not allowed""** в поле  First Name

**Expected result:** отображается сообщение об ошибке **""Numbers, Cyrillic and special characters are not allowed""** в поле  First Name

![](9.png){width=70%}","0"
"G31-47","group3.1","Star","Billing Address (module Add Customer): поле Last Name оставить пустым. Нажать кнопку  submit  сообщение об ошибке ""please fill all fields""","Anastasiya Pasrednikava","8 Dec 2022","8 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)"," 1. Открыть сайт

    <https://demo.guru99.com/telecom/addcustomer.php>
 2. Выберете поле First Name
 3. Введите буквы
 4. Выберете поле Last Name
 5. Оставить поле пустым
 6. Выберете поле Email
 7. Введите существующий Email
 8. Address
 9. Введите адрес
10. Mobile number
11. Введите существующий мобильный номер 
12. нажать submit

    **Result:** отображается сообщение об ошибке ""please fill all fields"" 

    **Expected result:** отображается сообщение об ошибке ""Last Name must not be blank"" в поле Last Name

    ![](Screenshot_11.png){width=70%}","0"
"G31-46","group3.1","Star","Billing Address (module Add Customer):  в поле Address введены латинские буквы и спецсимвол (,). сообщение об ошибке ""Special characters are not allowed""","Anastasiya Pasrednikava","8 Dec 2022","8 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","STR: 

1. Открыть сайт

   <https://demo.guru99.com/telecom/addcustomer.php>
2. Выберете поле Address
3. Введите латинские буквы и спецсимвол (,)

Result:   в поле Address  сообщение об ошибке ""Special characters are not allowed""

 Expected result: в поле Address  нет сообщения об ошибке. Спецсимвол (,) разрешен

![](7.png){width=70%}


","0"
"G31-45","group3.1","Star","Billing Address (module Add Customer): встроенная специальная проверка в поле Email не проверяет наличие  доменной зоны","Anastasiya Pasrednikava","7 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","1. Открыть сайт <https://demo.guru99.com/telecom/addcustomer.php>
2. Выберете поле Email
3.  Введите j@mail.cp

   Result: встроенная специальная проверка в поле Email не проверяет наличие  доменной зоны. Ошибка не выдается.

   Expected result: встроенная специальная проверка в поле Email проверяет наличие  доменной зоны (com.). 

   ![](6.png){width=70%}","0"
"G31-44","group3.1","Star","Главная страница сервиса Guru99 telecom: отсутствует активная кнопка Delete Customer и описание к ней","Anastasiya Pasrednikava","7 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)","**STR:**

1. Открыть сайт

   <https://demo.guru99.com/telecom/index.html>

   **Result:** На главной странице отсутствует активная кнопка Delete Customer и описание к ней

   **Expected result:** На главной странице присутствует активная кнопка Delete Customer и описание к ней

   ![](5.png){width=70%}","0"
"G31-43","group3.1","Star","Billing Address (module Add Customer):  в поле Mobile number введены буквы. Кнопка Reset не обнуляет сообщение об ошибке ""Characters are not allowed""","Anastasiya Pasrednikava","7 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)","**STR:**

1. Открыть сайт

   <https://demo.guru99.com/telecom/addcustomer.php>
2. Выберете поле Mobile number
3. Введите буквы
4. В поле Mobile number отображается ошибка ""**Characters are not allowed""**
5. нажать Reset

**Result:** Кнопка Reset обнуляет буквы введенные в поле  Mobile number, но не обнуляет сообщение об ошибке ""Characters are not allowed""

**Expected result:** Кнопка Reset обнуляет заполненное значение и сообщение об ошибке ""Characters are not allowed""




","0"
"G31-42","group3.1","Star","Billing Address (module Add Customer):  сообщение об ошибке ""Numbers are not allowed"" в поле  First Name после ввода кириллицы","Anastasiya Pasrednikava","7 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)","**STR:** 

1. Открыть сайт <https://demo.guru99.com/telecom/addcustomer.php>
2. Выберете поле  First Name
3. Введите кириллицу

**Result:** отображается сообщение об ошибке ""**Numbers are not allowed**"" в поле  First Name

**Expected result:** отображается сообщение об ошибке **""Cyrillic are not allowed""** в поле  First Name

![](3.png){width=70%}","0"
"G31-41","group3.1","Star","Billing Address (module Add Customer):  название поля (First Name, Last Name, Email, Address и Mobile Number) соответствует placeholder внутри поля для ввода.","Anastasiya Pasrednikava","7 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)","STR:

1. Открыть сайт <https://demo.guru99.com/telecom/index.html>
2. Перейти в раздел Guru99 telecom кнопка Add Customer
3. Открывается страница Add Customer

Result: нет названия поля для ввода (First Name, Last Name, Email, Address и Mobile Number) . placeholder (First Name, Last Name, Address) внутри поля не соответствует требованиям.

Expected result: название поля (First Name, Last Name, Email, Address и Mobile Number) соответствует placeholder (подсказка) внутри поля для ввода. placeholder (подсказка) внутри поля соответствует требованиям.

![](Screenshot.png){width=70%}","0"
"G31-28","group3.1","Star","Боковое гамбургер-меню: Активная кнопка  Add Tariff Plans не совпадает с наименование аналогичной кнопкой на главном экране","Anastasiya Pasrednikava","6 Dec 2022","6 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 10, 64-разрядная операционная система. Google Chrome108.0.5359.95","No qase tc # (only for bug)","**STR:**

1. Открыть сайт

   <https://demo.guru99.com/telecom/index.html>
2. Открыть боковое гамбургер-меню.

   **Result:** В боковом гамбургер-меню активная кнопка ""Add Tariff Plans"". На главном экране активная кнопка Add Tariff Plan"". ![](Screenshot.png){width=70%}

   **Expected result:** В боковом гамбургер-меню активная кнопка ""Add Tariff Plan"". На главном экране активная кнопка Add Tariff Plan"". ","0"
